epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,2256.52,0.31387,5.0358,0.30463,0.32001,0.99692,0.99835,1,0.995,0.99238,0.99835,1,0.995,0.27946,0.29724,3.06106,0.32258,0.28247,0.63992,0.0004556,0.0004556,0.0004556
41,2319.45,0.23858,3.69805,0.34879,0.30757,1.00069,0.99841,1,0.995,0.98006,0.88095,0.88235,0.79495,0.25469,0.28093,2.97197,0.29782,0.29682,0.6193,0.000416,0.000416,0.000416
42,2387.43,0.22726,4.00956,0.32576,0.22541,0.99541,0.99839,1,0.995,0.97469,0.93966,0.94118,0.89088,0.36054,0.28703,2.71669,0.2973,0.31773,0.63529,0.0003764,0.0003764,0.0003764
43,2447.15,0.22805,3.74355,0.33559,0.23155,0.9585,0.99836,1,0.995,0.97875,0.96899,0.97059,0.94882,0.35371,0.29876,3.00096,0.28011,0.3245,0.63559,0.0003368,0.0003368,0.0003368
44,2506.78,0.21356,3.13688,0.30226,0.21422,0.94888,0.99838,1,0.995,0.98512,0.99838,1,0.995,0.45945,0.30182,2.58758,0.25325,0.32243,0.62686,0.0002972,0.0002972,0.0002972
45,2570.89,0.19838,3.23313,0.30052,0.21411,0.9651,0.99847,1,0.995,0.98739,0.91034,0.91176,0.83647,0.33428,0.2848,2.48294,0.24537,0.33368,0.60873,0.0002576,0.0002576,0.0002576
46,2630.11,0.20045,2.83362,0.28449,0.20721,0.95997,0.99849,1,0.995,0.99038,0.99849,1,0.995,0.50392,0.27083,2.33818,0.22828,0.30304,0.59914,0.000218,0.000218,0.000218
47,2689.28,0.19514,2.81257,0.25237,0.19972,0.98588,0.99847,1,0.995,0.98658,0.93974,0.94118,0.89877,0.43075,0.26133,2.2033,0.21889,0.29872,0.586,0.0001784,0.0001784,0.0001784
48,2749.45,0.18449,2.61869,0.25281,0.19269,0.94727,0.99848,1,0.995,0.98631,0.96911,0.97059,0.94706,0.49832,0.27162,2.04619,0.21876,0.30991,0.59051,0.0001388,0.0001388,0.0001388
49,2813.67,0.18142,2.58019,0.2569,0.1942,0.95432,0.99846,1,0.995,0.9868,0.99846,1,0.995,0.53373,0.27763,2.03829,0.21562,0.30495,0.59498,9.92e-05,9.92e-05,9.92e-05
50,2875.15,0.18824,2.41271,0.24306,0.19591,0.94903,0.99847,1,0.995,0.9869,0.99847,1,0.995,0.56374,0.27212,1.94119,0.21358,0.30966,0.58736,5.96e-05,5.96e-05,5.96e-05
